record_id,timestamp,wafer_id,lot_id,process_node_nm,required_time_ns,arrival_time_ns,temperature_c,leakage_power_mw,dynamic_power_mw,routing_utilization,overflow_count,defect_density,test_time_sec,test_coverage_pct,fail_rate_pct,good_chips,total_chips,center_defect_score,edge_defect_score,scratch_score,cluster_score,slack_ns,yield_pct,congestion_score
0,2026-01-01 00:00:00,WAFER_0,LOT_0,5,4.649,4.662,92.488,65.702,63.494,42.273,43,0.175,264.252,99.809,0.818,788,1000,0.214,0.895,0.131,0.864,-0.013,70.71006583092206,46.827
1,2026-01-01 00:01:00,WAFER_1,LOT_1,14,5.287,4.263,73.975,31.501,150.27,51.845,48,1.078,174.896,93.723,11.678,796,1000,0.621,0.844,0.733,0.198,1.024,79.6,55.299
2,2026-01-01 00:02:00,WAFER_2,LOT_2,7,8.336,2.726,65.002,52.587,23.499,67.987,36,5.829,31.254,94.977,15.08,995,1000,0.6,0.915,0.945,0.318,5.61,97.42415768868479,60.392
3,2026-01-01 00:03:00,WAFER_3,LOT_3,5,4.22,6.951,75.353,80.611,65.394,89.493,57,6.394,380.585,99.791,12.59,811,1000,0.66,0.444,0.758,0.199,-2.731,72.92535041817375,83.82
4,2026-01-01 00:04:00,WAFER_4,LOT_4,3,8.457,5.671,67.944,11.139,86.22,46.833,14,3.855,414.266,92.605,2.447,872,1000,0.947,0.455,0.824,0.512,2.786,87.2,36.741
5,2026-01-01 00:05:00,WAFER_5,LOT_5,3,2.205,9.484,67.216,12.047,41.802,41.682,19,4.08,343.115,94.792,9.27,737,1000,0.166,0.808,0.621,0.161,-7.279,70.0,35.643
6,2026-01-01 00:06:00,WAFER_6,LOT_6,2,7.714,1.315,78.765,55.055,40.585,39.767,54,5.146,386.016,87.34,12.516,754,1000,0.654,0.303,0.004,0.171,6.399,70.69260858535709,50.149
7,2026-01-01 00:07:00,WAFER_7,LOT_7,14,8.28,7.31,56.359,62.52,82.227,67.446,12,2.791,68.383,91.608,13.65,821,1000,0.182,0.765,0.785,0.834,0.97,82.1,49.24
8,2026-01-01 00:08:00,WAFER_8,LOT_8,7,2.955,8.477,58.117,24.027,138.269,91.621,19,2.264,71.47,98.324,0.469,990,1000,0.314,0.504,0.404,0.703,-5.522,90.05564274195693,68.104
9,2026-01-01 00:09:00,WAFER_9,LOT_9,7,4.943,8.443,74.212,72.07,152.84,37.711,42,5.235,371.842,97.274,4.967,996,1000,0.39,0.264,0.873,0.189,-3.5,97.18820960526165,43.412
10,2026-01-01 00:10:00,WAFER_10,LOT_10,2,2.824,9.684,73.755,63.164,176.47,48.589,40,0.241,43.002,87.483,15.062,978,1000,0.835,0.644,0.573,0.387,-6.86,90.63564801995933,49.583
11,2026-01-01 00:11:00,WAFER_11,LOT_11,14,7.153,8.145,77.779,88.096,22.577,79.368,47,6.026,57.281,88.394,4.542,754,1000,0.054,0.296,0.192,0.917,-0.992,70.0,72.739
12,2026-01-01 00:12:00,WAFER_12,LOT_12,7,5.783,10.093,94.627,20.206,46.836,87.855,55,3.026,346.739,97.15,8.139,727,1000,0.734,0.672,0.055,0.87,-4.31,70.0,81.856
13,2026-01-01 00:13:00,WAFER_13,LOT_13,3,6.583,4.26,75.15,72.624,138.627,86.674,67,3.454,242.79,87.096,11.904,978,1000,0.913,0.569,0.555,0.654,2.323,90.02900897223086,86.488
14,2026-01-01 00:14:00,WAFER_14,LOT_14,3,3.072,5.931,80.58,12.528,101.902,85.244,43,4.331,176.691,97.888,16.758,919,1000,0.079,0.722,0.567,0.284,-2.859,85.87089317050386,74.759
15,2026-01-01 00:15:00,WAFER_15,LOT_15,3,3.194,1.138,63.269,55.876,65.706,43.307,72,1.902,241.379,95.85,7.354,859,1000,0.791,0.599,0.86,0.373,2.056,85.9,60.55
16,2026-01-01 00:16:00,WAFER_16,LOT_16,5,1.832,1.068,82.447,54.671,44.95,60.423,46,4.082,371.499,84.727,8.662,738,1000,0.108,0.758,0.039,0.653,0.764,73.8,59.975
17,2026-01-01 00:17:00,WAFER_17,LOT_17,5,4.077,3.353,68.21,39.955,57.681,98.024,49,4.728,322.853,94.884,9.585,804,1000,0.963,0.996,0.821,0.56,0.724,76.7729330101347,85.766
18,2026-01-01 00:18:00,WAFER_18,LOT_18,5,5.978,1.988,74.786,81.011,82.979,98.289,31,0.846,296.643,96.934,4.134,741,1000,0.815,0.468,0.406,0.561,3.99,74.1,77.838
19,2026-01-01 00:19:00,WAFER_19,LOT_19,5,8.363,3.55,72.803,5.393,40.116,73.555,53,3.563,410.754,84.584,6.394,954,1000,0.695,0.598,0.528,0.423,4.813,95.4,71.661
20,2026-01-01 00:20:00,WAFER_20,LOT_20,7,6.835,2.735,85.363,51.816,173.918,80.393,38,2.274,228.523,90.187,7.499,848,1000,0.55,0.102,0.533,0.09,4.1,84.8,69.355
21,2026-01-01 00:21:00,WAFER_21,LOT_21,3,4.983,1.279,59.59,24.544,28.29,95.882,57,3.812,22.53,97.441,0.525,771,1000,0.921,0.95,0.382,0.122,3.704,71.53134792238207,87.973
22,2026-01-01 00:22:00,WAFER_22,LOT_22,5,9.125,9.911,48.884,71.915,177.548,63.795,60,0.194,191.613,85.556,0.328,748,1000,0.119,0.596,0.186,0.835,-0.786,74.8,68.467
23,2026-01-01 00:23:00,WAFER_23,LOT_23,5,7.254,1.081,71.652,8.876,153.122,43.759,71,5.063,58.629,90.039,3.968,748,1000,0.122,0.103,0.079,0.884,6.173,72.08104706912854,60.393
24,2026-01-01 00:24:00,WAFER_24,LOT_24,5,8.941,8.214,79.154,79.84,81.936,77.813,18,1.187,66.582,92.969,8.805,852,1000,0.822,0.4,0.207,0.894,0.727,85.2,58.678
25,2026-01-01 00:25:00,WAFER_25,LOT_25,7,5.721,2.491,75.675,80.428,135.769,96.447,68,4.703,121.96,83.741,16.256,930,1000,0.482,0.081,0.714,0.475,3.23,87.57996893474751,93.291
26,2026-01-01 00:26:00,WAFER_26,LOT_26,3,3.571,9.94,87.554,79.958,124.158,79.621,21,5.24,172.547,85.796,16.54,741,1000,0.845,0.497,0.682,0.936,-6.369,70.74236467543555,61.204
27,2026-01-01 00:27:00,WAFER_27,LOT_27,5,1.923,9.749,78.811,18.731,46.259,86.413,34,5.13,212.64,90.354,11.073,896,1000,0.391,0.277,0.675,0.838,-7.826,81.05792033445938,71.468
28,2026-01-01 00:28:00,WAFER_28,LOT_28,5,7.309,7.408,67.798,61.737,67.642,62.056,9,5.568,87.928,88.689,14.094,838,1000,0.452,0.34,0.908,0.384,-0.099,78.95370483415203,44.386
29,2026-01-01 00:29:00,WAFER_29,LOT_29,2,2.47,7.588,48.42,6.293,97.231,41.174,14,2.127,144.688,87.813,15.332,855,1000,0.332,0.069,0.457,0.223,-5.118,82.4536223614788,33.063
30,2026-01-01 00:30:00,WAFER_30,LOT_30,7,3.922,1.052,71.39,81.317,118.434,45.808,1,6.578,130.616,82.472,14.298,801,1000,0.951,0.762,0.759,0.729,2.87,77.93380173677637,30.225
31,2026-01-01 00:31:00,WAFER_31,LOT_31,3,5.76,10.652,85.308,70.068,102.292,97.89,21,0.211,166.099,98.61,9.334,787,1000,0.465,0.841,0.668,0.725,-4.892,74.38682775238563,73.078
32,2026-01-01 00:32:00,WAFER_32,LOT_32,2,6.015,9.603,69.687,52.804,90.408,66.564,11,3.298,63.196,97.598,12.03,759,1000,0.755,0.14,0.937,0.89,-3.588,73.49525048471764,48.217
33,2026-01-01 00:33:00,WAFER_33,LOT_33,14,6.305,9.772,74.312,70.753,85.336,35.769,61,1.874,178.936,89.028,0.261,810,1000,0.696,0.751,0.67,0.05,-3.467,75.7848138620109,50.7
34,2026-01-01 00:34:00,WAFER_34,LOT_34,14,2.83,7.461,78.635,13.489,94.705,96.144,44,5.044,241.74,85.247,11.088,871,1000,0.235,0.129,0.18,0.353,-4.631,84.77066856847895,82.294
35,2026-01-01 00:35:00,WAFER_35,LOT_35,7,4.538,4.379,62.832,52.579,83.84,66.858,57,5.485,58.779,83.236,7.355,941,1000,0.914,0.086,0.744,0.035,0.159,86.26705065894626,69.108
36,2026-01-01 00:36:00,WAFER_36,LOT_36,5,6.438,9.758,80.856,31.215,102.026,88.521,19,5.601,228.308,84.205,11.031,795,1000,0.545,0.114,0.358,0.21,-3.32,74.24042933326754,66.089
37,2026-01-01 00:37:00,WAFER_37,LOT_37,3,9.259,3.857,92.008,92.536,160.958,70.101,50,2.054,322.365,92.776,11.866,954,1000,0.856,0.032,0.255,0.4,5.402,87.85017521718486,68.066
38,2026-01-01 00:38:00,WAFER_38,LOT_38,7,7.321,6.515,72.099,82.141,117.581,41.509,6,1.9,23.296,95.137,1.845,860,1000,0.832,0.376,0.278,0.123,0.806,86.0,29.681
39,2026-01-01 00:39:00,WAFER_39,LOT_39,5,8.881,1.977,61.58,70.995,132.846,74.396,23,4.619,39.011,84.8,14.892,809,1000,0.059,0.953,0.825,0.822,6.904,76.3514907326013,58.707
40,2026-01-01 00:40:00,WAFER_40,LOT_40,3,7.598,10.035,73.267,89.037,111.572,98.834,66,6.315,206.59,84.019,3.152,784,1000,0.62,0.899,0.453,0.203,-2.437,71.0248982548887,93.942
41,2026-01-01 00:41:00,WAFER_41,LOT_41,5,6.234,2.38,49.532,36.216,119.313,37.223,69,1.766,369.111,94.37,0.376,874,1000,0.789,0.332,0.469,0.411,3.854,87.4,55.245
42,2026-01-01 00:42:00,WAFER_42,LOT_42,2,3.036,3.204,77.706,86.079,108.319,88.875,52,6.197,419.115,91.255,7.419,934,1000,0.906,0.795,0.011,0.802,-0.168,88.56284792752922,81.169
43,2026-01-01 00:43:00,WAFER_43,LOT_43,14,6.833,6.47,78.975,34.271,14.567,50.071,33,4.042,57.358,88.656,1.706,858,1000,0.506,0.825,0.27,0.117,0.363,85.8,47.396
44,2026-01-01 00:44:00,WAFER_44,LOT_44,3,6.487,8.488,92.432,70.952,179.932,60.207,32,5.031,27.337,94.977,16.26,950,1000,0.751,0.152,0.883,0.62,-2.001,88.30034073611121,53.535
45,2026-01-01 00:45:00,WAFER_45,LOT_45,7,6.32,7.07,71.866,71.278,15.714,58.853,22,3.019,111.508,90.157,4.968,761,1000,0.97,0.229,0.498,0.941,-0.75,76.1,48.154
46,2026-01-01 00:46:00,WAFER_46,LOT_46,5,5.418,3.275,78.493,6.651,77.175,92.523,57,5.496,206.988,90.326,3.956,955,1000,0.828,0.69,0.416,0.454,2.143,88.50729623549057,85.79
47,2026-01-01 00:47:00,WAFER_47,LOT_47,5,5.729,1.009,64.526,37.495,27.87,67.287,67,6.601,248.718,82.282,4.601,805,1000,0.854,0.264,0.074,0.24,4.72,74.28263593576251,73.887
48,2026-01-01 00:48:00,WAFER_48,LOT_48,5,4.176,8.42,70.079,6.749,26.478,63.619,68,1.201,409.394,87.657,4.96,885,1000,0.407,0.938,0.293,0.943,-4.244,86.11366447345726,71.952
49,2026-01-01 00:49:00,WAFER_49,LOT_49,3,5.655,10.655,57.223,94.738,144.9,87.354,79,2.653,375.385,82.09,1.251,917,1000,0.092,0.231,0.131,0.054,-5.0,87.13058797919032,92.33
50,2026-01-01 00:50:00,WAFER_50,LOT_0,14,3.08,8.937,71.857,15.998,82.407,38.13,39,5.872,244.839,98.537,9.272,781,1000,0.966,0.799,0.164,0.312,-5.857,70.66284069601322,42.335
51,2026-01-01 00:51:00,WAFER_51,LOT_1,7,7.941,5.51,70.642,53.853,146.194,40.533,46,1.243,164.686,87.262,0.502,753,1000,0.696,0.758,0.339,0.817,2.431,75.3,47.046
52,2026-01-01 00:52:00,WAFER_52,LOT_2,14,2.986,9.857,77.291,76.15,56.374,36.388,42,2.838,148.519,85.231,12.746,950,1000,0.171,0.504,0.067,0.154,-6.871,86.5271934666214,42.552
53,2026-01-01 00:53:00,WAFER_53,LOT_3,14,2.18,5.017,67.14,23.114,53.599,79.031,60,1.171,249.05,83.627,13.098,886,1000,0.974,0.263,0.778,0.084,-2.837,81.97661828148404,78.37
54,2026-01-01 00:54:00,WAFER_54,LOT_4,5,4.99,6.144,74.917,48.655,52.709,68.639,41,4.426,308.541,82.835,6.915,932,1000,0.716,0.034,0.622,0.458,-1.154,84.42857715630795,63.065
55,2026-01-01 00:55:00,WAFER_55,LOT_5,14,6.766,5.676,70.333,59.669,114.745,91.065,61,1.659,212.666,97.86,16.51,996,1000,0.09,0.828,0.8,0.332,1.09,95.67950326161373,86.642
56,2026-01-01 00:56:00,WAFER_56,LOT_6,3,5.002,5.387,70.354,19.418,148.55,66.906,66,2.62,141.76,85.016,13.334,773,1000,0.171,0.378,0.348,0.797,-0.385,77.3,73.189
57,2026-01-01 00:57:00,WAFER_57,LOT_7,3,3.714,8.597,74.884,75.07,86.884,49.196,54,3.365,265.266,93.053,2.268,903,1000,0.865,0.34,0.222,0.337,-4.883,87.34556419888847,56.277
58,2026-01-01 00:58:00,WAFER_58,LOT_8,2,5.965,6.162,74.446,31.94,74.472,86.529,48,2.056,243.177,93.657,16.661,940,1000,0.954,0.044,0.59,0.67,-0.197,94.0,77.844
59,2026-01-01 00:59:00,WAFER_59,LOT_9,5,4.276,4.104,82.373,23.992,175.509,53.837,48,4.639,190.947,87.684,14.398,817,1000,0.365,0.151,0.022,0.56,0.172,77.40468810922836,56.594
60,2026-01-01 01:00:00,WAFER_60,LOT_10,5,8.963,3.53,72.673,55.246,29.848,94.884,77,0.801,319.342,96.915,12.027,782,1000,0.413,0.368,0.089,0.597,5.433,71.45323315760714,96.325
61,2026-01-01 01:01:00,WAFER_61,LOT_11,3,8.881,1.37,70.151,41.928,92.728,51.027,32,5.989,132.888,85.831,11.178,761,1000,0.395,0.691,0.741,0.511,7.511,71.36652256750888,47.568
62,2026-01-01 01:02:00,WAFER_62,LOT_12,7,5.519,6.715,72.011,87.826,79.443,45.734,27,3.299,213.97,83.279,10.36,968,1000,0.835,0.207,0.887,0.135,-1.196,90.18609851257618,41.877
63,2026-01-01 01:03:00,WAFER_63,LOT_13,5,4.123,3.254,66.139,84.206,26.682,66.573,56,3.916,396.136,83.227,16.836,829,1000,0.453,0.164,0.205,0.062,0.869,82.9,68.472
64,2026-01-01 01:04:00,WAFER_64,LOT_14,5,7.397,2.452,70.041,48.502,55.594,38.233,40,4.249,309.131,87.378,8.239,873,1000,0.375,0.262,0.791,0.544,4.945,87.3,42.851
65,2026-01-01 01:05:00,WAFER_65,LOT_15,5,1.794,7.408,96.343,37.334,14.835,37.33,78,0.453,175.189,90.292,2.986,916,1000,0.622,0.283,0.384,0.649,-5.614,84.68631079158015,59.364
66,2026-01-01 01:06:00,WAFER_66,LOT_16,3,5.298,7.676,63.961,34.297,159.082,66.745,3,5.16,238.471,93.266,5.147,867,1000,0.491,0.41,0.416,0.725,-2.378,80.4022498404399,44.734
